E_eV,v_m_s,dEdx_ref_eV_per_m,SN_eV_m2,nu_ref_s-1,CSDA_range_ref_m
1.000000000000e+01,1.304318678369e+05,5.930780837083e+01,5.930780837083e-21,3.867814660663e+05,3.372237239816e-01
1.047128548051e+01,1.334700158811e+05,6.068926469340e+01,6.068926469340e-21,3.867814673602e+05,3.449046274141e-01
1.096478196143e+01,1.365789314523e+05,6.210289926743e+01,6.210289926743e-21,3.867814687151e+05,3.530095576902e-01
1.148153621497e+01,1.397602629357e+05,6.354946162068e+01,6.354946162068e-21,3.867814701339e+05,3.612951867693e-01
1.202264434617e+01,1.430156971121e+05,6.502971873966e+01,6.502971873966e-21,3.867814716195e+05,3.697030848282e-01
1.258925411794e+01,1.463469600523e+05,6.654445547628e+01,6.654445547628e-21,3.867814731751e+05,3.783809536234e-01
1.318256738556e+01,1.497558180324e+05,6.809447496401e+01,6.809447496401e-21,3.867814748041e+05,3.871984672659e-01
1.380384264603e+01,1.532440784701e+05,6.968059904371e+01,6.968059904371e-21,3.867814765098e+05,3.962139920590e-01
1.445439770746e+01,1.568135908828e+05,7.130366869936e+01,7.130366869936e-21,3.867814782959e+05,4.054390699107e-01
1.513561248436e+01,1.604662478688e+05,7.296454450396e+01,7.296454450396e-21,3.867814801662e+05,4.148827501783e-01
1.584893192461e+01,1.642039861103e+05,7.466410707586e+01,7.466410707586e-21,3.867814821246e+05,4.245492106531e-01
1.659586907438e+01,1.680287874004e+05,7.640325754563e+01,7.640325754563e-21,3.867814841753e+05,4.344391341347e-01
1.737800828749e+01,1.719426796936e+05,7.818291803386e+01,7.818291803386e-21,3.867814863227e+05,4.445575969531e-01
1.819700858610e+01,1.759477381816e+05,8.000403214011e+01,8.000403214011e-21,3.867814885713e+05,4.549117611847e-01
1.905460717963e+01,1.800460863928e+05,8.186756544318e+01,8.186756544318e-21,3.867814909258e+05,4.655078990657e-01
1.995262314969e+01,1.842398973189e+05,8.377450601309e+01,8.377450601309e-21,3.867814933913e+05,4.763508296370e-01
2.000000000000e+01,1.844585033671e+05,8.387390695266e+01,8.387390695266e-21,3.867814935214e+05,4.769160341305e-01
2.089296130854e+01,1.885313945665e+05,8.572586493498e+01,8.572586493498e-21,3.867814959730e+05,4.874465284546e-01
2.187761623950e+01,1.929228535364e+05,8.772267684517e+01,8.772267684517e-21,3.867814986764e+05,4.988002267426e-01
2.290867652768e+01,1.974166026298e+05,8.976600047977e+01,8.976600047977e-21,3.867815015072e+05,5.104184622904e-01
2.398832919019e+01,2.020150244827e+05,9.185691923602e+01,9.185691923602e-21,3.867815044714e+05,5.223075338991e-01
2.511886431510e+01,2.067205572297e+05,9.399654174672e+01,9.399654174672e-21,3.867815075753e+05,5.344732249965e-01
2.630267991895e+01,2.115356957960e+05,9.618600246805e+01,9.618600246805e-21,3.867815108255e+05,5.469226990658e-01
2.754228703338e+01,2.164629932205e+05,9.842646228105e+01,9.842646228105e-21,3.867815142288e+05,5.596618214855e-01
2.884031503127e+01,2.215050620098e+05,1.007191091072e+02,1.007191091072e-20,3.867815177926e+05,5.726977675798e-01
3.019951720402e+01,2.266645755225e+05,1.030651585381e+02,1.030651585381e-20,3.867815215243e+05,5.860375262763e-01
3.162277660168e+01,2.319442693871e+05,1.054658544804e+02,1.054658544804e-20,3.867815254318e+05,5.996876276375e-01
3.311311214826e+01,2.373469429527e+05,1.079224698147e+02,1.079224698147e-20,3.867815295236e+05,6.136561563879e-01
3.467368504525e+01,2.428754607723e+05,1.104363070710e+02,1.104363070710e-20,3.867815338081e+05,6.279496934241e-01
3.630780547701e+01,2.485327541223e+05,1.130086991191e+02,1.130086991191e-20,3.867815382946e+05,6.425762729333e-01
3.801893963206e+01,2.543218225566e+05,1.156410098754e+02,1.156410098754e-20,3.867815429926e+05,6.575437284662e-01
3.981071705535e+01,2.602457354962e+05,1.183346350257e+02,1.183346350257e-20,3.867815479119e+05,6.728593911341e-01
4.168693834703e+01,2.663076338576e+05,1.210910027659e+02,1.210910027659e-20,3.867815530631e+05,6.885323370398e-01
4.365158322402e+01,2.725107317169e+05,1.239115745586e+02,1.239115745586e-20,3.867815584570e+05,7.045699500550e-01
4.570881896149e+01,2.788583180151e+05,1.267978459083e+02,1.267978459083e-20,3.867815641052e+05,7.209812429577e-01
4.786300923226e+01,2.853537583006e+05,1.297513471543e+02,1.297513471543e-20,3.867815700196e+05,7.377750042900e-01
5.000000000000e+01,2.916544401051e+05,1.326162911137e+02,1.326162911137e-20,3.867815758867e+05,7.540647552456e-01
5.011872336273e+01,2.920004965146e+05,1.327736442819e+02,1.327736442819e-20,3.867815762126e+05,7.549594601361e-01
5.248074602498e+01,2.988020568160e+05,1.358663397533e+02,1.358663397533e-20,3.867815826976e+05,7.725447945582e-01
5.495408738576e+01,3.057620454507e+05,1.390310733564e+02,1.390310733564e-20,3.867815894882e+05,7.905392923950e-01
5.754399373372e+01,3.128841526631e+05,1.422695230749e+02,1.422695230749e-20,3.867815965988e+05,8.089530659706e-01
6.025595860744e+01,3.201721546524e+05,1.455834059776e+02,1.455834059776e-20,3.867816040445e+05,8.277959761037e-01
6.309573444802e+01,3.276299155749e+05,1.489744791293e+02,1.489744791293e-20,3.867816118411e+05,8.470772526584e-01
6.606934480076e+01,3.352613895928e+05,1.524445405217e+02,1.524445405217e-20,3.867816200052e+05,8.668083223928e-01
6.918309709189e+01,3.430706229699e+05,1.559954300273e+02,1.559954300273e-20,3.867816285540e+05,8.869984810490e-01
