E_eV,v_m_s,dEdx_ref_eV_per_m,SN_eV_m2,nu_ref_s-1,CSDA_range_ref_m
1.000000000000e+02,4.124615183332e+05,1.875477574846e+02,1.875477574846e-20,3.867817131621e+05,1.066395048826e+00
1.047128548051e+02,4.220689671762e+05,1.919163059520e+02,1.919163059520e-20,3.867817261013e+05,1.090684198156e+00
1.096478196143e+02,4.319002012411e+05,1.963866109851e+02,1.963866109851e-20,3.867817396503e+05,1.116314238107e+00
1.148153621497e+02,4.419604330831e+05,2.009610427988e+02,2.009610427988e-20,3.867817538378e+05,1.142515697849e+00
1.202264434617e+02,4.522549966683e+05,2.056420268174e+02,2.056420268174e-20,3.867817686940e+05,1.169103806052e+00
1.258925411794e+02,4.627893502013e+05,2.104320449607e+02,2.104320449607e-20,3.867817842503e+05,1.196545636677e+00
1.318256738556e+02,4.735690790186e+05,2.153336369596e+02,2.153336369596e-20,3.867818005398e+05,1.224429063073e+00
1.380384264603e+02,4.845998985496e+05,2.203494017031e+02,2.203494017031e-20,3.867818175969e+05,1.252938655718e+00
1.445439770746e+02,4.958876573464e+05,2.254819986160e+02,2.254819986160e-20,3.867818354580e+05,1.282110913361e+00
1.513561248436e+02,5.074383401840e+05,2.307341490692e+02,2.307341490692e-20,3.867818541608e+05,1.311974452549e+00
1.584893192461e+02,5.192580712328e+05,2.361086378224e+02,2.361086378224e-20,3.867818737450e+05,1.342542484503e+00
1.659586907438e+02,5.313531173054e+05,2.416083145006e+02,2.416083145006e-20,3.867818942522e+05,1.373817168363e+00
1.737800828749e+02,5.437298911778e+05,2.472360951053e+02,2.472360951053e-20,3.867819157259e+05,1.405814557238e+00
1.819700858610e+02,5.563949549896e+05,2.529949635601e+02,2.529949635601e-20,3.867819382117e+05,1.438557300110e+00
1.905460717963e+02,5.693550237216e+05,2.588879732933e+02,2.588879732933e-20,3.867819617571e+05,1.472065231026e+00
1.995262314969e+02,5.826169687558e+05,2.649182488568e+02,2.649182488568e-20,3.867819864122e+05,1.506353587213e+00
2.000000000000e+02,5.833082591318e+05,2.652325822274e+02,2.652325822274e-20,3.867819877129e+05,1.508140920618e+00
2.089296130854e+02,5.961878215171e+05,2.710889875825e+02,2.710889875825e-20,3.867820122292e+05,1.541441264056e+00
2.187761623950e+02,6.100747772009e+05,2.774034612777e+02,2.774034612777e-20,3.867820392630e+05,1.577344809574e+00
2.290867652768e+02,6.242851985867e+05,2.838650179599e+02,2.838650179599e-20,3.867820675709e+05,1.614084906209e+00
2.398832919019e+02,6.388266199404e+05,2.904770836320e+02,2.904770836320e-20,3.867820972128e+05,1.651681464776e+00
2.511886431510e+02,6.537067510081e+05,2.972431640987e+02,2.972431640987e-20,3.867821282517e+05,1.690152744307e+00
2.630267991895e+02,6.689334811019e+05,3.041668468256e+02,3.041668468256e-20,3.867821607535e+05,1.729521381901e+00
2.754228703338e+02,6.845148832822e+05,3.112518028408e+02,3.112518028408e-20,3.867821947869e+05,1.769806007000e+00
2.884031503127e+02,7.004592186354e+05,3.185017886817e+02,3.185017886817e-20,3.867822304244e+05,1.811029432661e+00
3.019951720402e+02,7.167749406532e+05,3.259206483869e+02,3.259206483869e-20,3.867822677414e+05,1.853213651697e+00
3.162277660168e+02,7.334706997121e+05,3.335123155339e+02,3.335123155339e-20,3.867823068171e+05,1.896378885586e+00
3.311311214826e+02,7.505553476583e+05,3.412808153252e+02,3.412808153252e-20,3.867823477343e+05,1.940550459156e+00
3.467368504525e+02,7.680379424985e+05,3.492302667221e+02,3.492302667221e-20,3.867823905799e+05,1.985750281358e+00
3.630780547701e+02,7.859277532007e+05,3.573648846291e+02,3.573648846291e-20,3.867824354448e+05,2.032005430339e+00
3.801893963206e+02,8.042342646055e+05,3.656889821281e+02,3.656889821281e-20,3.867824824241e+05,2.079339428334e+00
3.981071705535e+02,8.229671824529e+05,3.742069727660e+02,3.742069727660e-20,3.867825316174e+05,2.127770149193e+00
4.168693834703e+02,8.421364385252e+05,3.829233728941e+02,3.829233728941e-20,3.867825831292e+05,2.177322935084e+00
4.365158322402e+02,8.617521959100e+05,3.918428040630e+02,3.918428040630e-20,3.867826370686e+05,2.228032735536e+00
4.570881896149e+02,8.818248543852e+05,4.009699954733e+02,4.009699954733e-20,3.867826935501e+05,2.279946232579e+00
4.786300923226e+02,9.023650559297e+05,4.103097864827e+02,4.103097864827e-20,3.867827526935e+05,2.333084031320e+00
5.000000000000e+02,9.222893744080e+05,4.193695347633e+02,4.193695347633e-20,3.867828113647e+05,2.384601571811e+00
5.011872336273e+02,9.233836903619e+05,4.198671291719e+02,4.198671291719e-20,3.867828146242e+05,2.387429536042e+00
5.248074602498e+02,9.448919011096e+05,4.296470909707e+02,4.296470909707e-20,3.867828794737e+05,2.442976417171e+00
5.495408738576e+02,9.669010911140e+05,4.396548573441e+02,4.396548573441e-20,3.867829473794e+05,2.499780733480e+00
5.754399373372e+02,9.894229288706e+05,4.608218057605e+02,4.608218057605e-20,3.961763478313e+05,2.557952519175e+00
6.025595860744e+02,1.012469354611e+06,4.572790950975e+02,4.572790950975e-20,3.841819477272e+05,2.618034939107e+00
6.309573444802e+02,1.036052586630e+06,4.503457544679e+02,4.503457544679e-20,3.697445376398e+05,2.681156992094e+00
6.606934480076e+02,1.060185127753e+06,4.490690105601e+02,4.490690105601e-20,3.603038242583e+05,2.748229209609e+00
6.918309709189e+02,1.084879771966e+06,4.527061793732e+02,4.527061793732e-20,3.549541875492e+05,2.817999736308e+00
7.244359600750e+02,1.110149611187e+06,4.605915222183e+02,4.605915222183e-20,3.529164662377e+05,2.888187424292e+00
7.585775750292e+02,1.136008042203e+06,5.241860235625e+02,5.241860235625e-20,3.925016839958e+05,2.956696369279e+00
7.943282347243e+02,1.162468773763e+06,5.910937032045e+02,5.910937032045e-20,4.325263102489e+05,3.021793280464e+00
8.317637711027e+02,1.189545833841e+06,6.582924390487e+02,6.582924390487e-20,4.707335798039e+05,3.082053591377e+00
8.709635899561e+02,1.217253577063e+06,7.254633542026e+02,7.254633542026e-20,5.069579211783e+05,3.138687190647e+00
9.120108393559e+02,1.245606692312e+06,7.601139898474e+02,7.601139898474e-20,5.190811833624e+05,3.194120943321e+00
9.549925860214e+02,1.274620210499e+06,7.994773832900e+02,7.994773832900e-20,5.335349516114e+05,3.249512312148e+00
1.000000000000e+03,1.304309512528e+06,8.431107762959e+02,8.431107762959e-20,5.498465087254e+05,3.304162856845e+00
1.047128548051e+03,1.334690337440e+06,9.262864412359e+02,9.262864412359e-20,5.903400990176e+05,3.357221081419e+00
1.096478196143e+03,1.365778790739e+06,1.030169100072e+03,1.030169100072e-19,6.416019098054e+05,3.408147932347e+00
1.148153621497e+03,1.397591352924e+06,1.134252809324e+03,1.134252809324e-19,6.903465389166e+05,3.456476767547e+00
1.202264434617e+03,1.430144888212e+06,1.244137472506e+03,1.244137472506e-19,7.399899575872e+05,3.502106372829e+00
1.258925411794e+03,1.463456653460e+06,1.355734840770e+03,1.355734840770e-19,7.880111938322e+05,3.545447573300e+00
1.318256738556e+03,1.497544307303e+06,1.474510100955e+03,1.474510100955e-19,8.375400134245e+05,3.587014344072e+00
1.380384264603e+03,1.532425919499e+06,1.627151288288e+03,1.627151288288e-19,9.032041793776e+05,3.626962515872e+00
1.445439770746e+03,1.568119980487e+06,1.776129806035e+03,1.776129806035e-19,9.634582659844e+05,3.665409781827e+00
1.513561248436e+03,1.604645411174e+06,1.894860856542e+03,1.894860856542e-19,1.004467151970e+06,3.702615247454e+00
1.584893192461e+03,1.642021572944e+06,2.012036513109e+03,2.012036513109e-19,1.042304210930e+06,3.739019225694e+00
1.659586907438e+03,1.680268277902e+06,2.130477032435e+03,2.130477032435e-19,1.078538671392e+06,3.775081618448e+00
1.737800828749e+03,1.719405799350e+06,2.250090026581e+03,2.250090026581e-19,1.113163610223e+06,3.810719001815e+00
1.819700858610e+03,1.759454882513e+06,2.427413434187e+03,2.427413434187e-19,1.173554085204e+06,3.845671532722e+00
1.905460717963e+03,1.800436755510e+06,2.603211555612e+03,2.603211555612e-19,1.229897974352e+06,3.879842817728e+00
1.995262314969e+03,1.842373140575e+06,2.774523636393e+03,2.774523636393e-19,1.280997636908e+06,3.913368614188e+00
2.000000000000e+03,1.844559108996e+06,2.783234049547e+03,2.783234049547e-19,1.283496371541e+06,3.915081517815e+00
2.089296130854e+03,1.885286265545e+06,2.936605955015e+03,2.936605955015e-19,1.324969449553e+06,3.946429971205e+00
2.187761623950e+03,1.929198875608e+06,3.093213855085e+03,3.093213855085e-19,1.363862033401e+06,3.979093738449e+00
2.290867652768e+03,1.974134245326e+06,3.249313292832e+03,3.249313292832e-19,1.400078537497e+06,4.011423463702e+00
2.398832919019e+03,2.020116190936e+06,3.448309022112e+03,3.448309022112e-19,1.452002359716e+06,4.043483858158e+00
2.511886431510e+03,2.067169082933e+06,3.659550533028e+03,3.659550533028e-19,1.505876100505e+06,4.075335657129e+00
2.630267991895e+03,2.115317858944e+06,3.850868984783e+03,3.850868984783e-19,1.548533483294e+06,4.107085798210e+00
2.754228703338e+03,2.164588036903e+06,3.965502805142e+03,3.965502805142e-19,1.558333836518e+06,4.138909004246e+00
2.884031503127e+03,2.215005728526e+06,4.081489473810e+03,4.081489473810e-19,1.567405333464e+06,4.171048481120e+00
3.019951720402e+03,2.266597653098e+06,4.245528619055e+03,4.245528619055e-19,1.593290003144e+06,4.203612374217e+00
3.162277660168e+03,2.319391151581e+06,4.417330741283e+03,4.417330741283e-19,1.620031334939e+06,4.236512003098e+00
3.311311214826e+03,2.373414201043e+06,4.585069600091e+03,4.585069600091e-19,1.643273641516e+06,4.269658831898e+00
3.467368504525e+03,2.428695429421e+06,4.748685256327e+03,4.748685256327e-19,1.663174520580e+06,4.303065717438e+00
3.630780547701e+03,2.485264130626e+06,4.934250912905e+03,4.934250912905e-19,1.688830919560e+06,4.336793134105e+00
3.801893963206e+03,2.543150279993e+06,5.119359415828e+03,5.119359415828e-19,1.712304863066e+06,4.370874870220e+00
3.981071705535e+03,2.602384550089e+06,5.300260764735e+03,5.300260764735e-19,1.732460166818e+06,4.405304568553e+00
4.168693834703e+03,2.662998326882e+06,5.486990075112e+03,5.486990075112e-19,1.752672507076e+06,4.440087532587e+00
4.365158322402e+03,2.725023726284e+06,5.680163849474e+03,5.680163849474e-19,1.773078928978e+06,4.475257174552e+00
