E_eV,SN_opt3_eV_m2,SN_opt4_eV_m2,ratio_opt4_over_opt3
1.000000000000e+02,1.875477574846e-20,1.875477574846e-20,1.000000000000e+00
1.047128548051e+02,1.919163059520e-20,1.919163059520e-20,1.000000000000e+00
1.096478196143e+02,1.963866109851e-20,1.963866109851e-20,1.000000000000e+00
1.148153621497e+02,2.009610427988e-20,2.009610427988e-20,1.000000000000e+00
1.202264434617e+02,2.056420268174e-20,2.056420268174e-20,1.000000000000e+00
1.258925411794e+02,2.104320449607e-20,2.104320449607e-20,1.000000000000e+00
1.318256738556e+02,2.153336369596e-20,2.153336369596e-20,1.000000000000e+00
1.380384264603e+02,2.203494017031e-20,2.203494017031e-20,1.000000000000e+00
1.445439770746e+02,2.254819986160e-20,2.254819986160e-20,1.000000000000e+00
1.513561248436e+02,2.307341490692e-20,2.307341490692e-20,1.000000000000e+00
1.584893192461e+02,2.361086378224e-20,2.361086378224e-20,1.000000000000e+00
1.659586907438e+02,2.416083145006e-20,2.416083145006e-20,1.000000000000e+00
1.737800828749e+02,2.472360951053e-20,2.472360951053e-20,1.000000000000e+00
1.819700858610e+02,2.529949635601e-20,2.529949635601e-20,1.000000000000e+00
1.905460717963e+02,2.588879732933e-20,2.588879732933e-20,1.000000000000e+00
1.995262314969e+02,2.649182488568e-20,2.649182488568e-20,1.000000000000e+00
2.000000000000e+02,2.652325822274e-20,2.652325822274e-20,1.000000000000e+00
2.089296130854e+02,2.710889875825e-20,2.710889875825e-20,1.000000000000e+00
2.187761623950e+02,2.774034612777e-20,2.774034612777e-20,1.000000000000e+00
2.290867652768e+02,2.838650179599e-20,2.838650179599e-20,1.000000000000e+00
2.398832919019e+02,2.904770836320e-20,2.904770836320e-20,1.000000000000e+00
2.511886431510e+02,2.972431640987e-20,2.972431640987e-20,1.000000000000e+00
2.630267991895e+02,3.041668468256e-20,3.041668468256e-20,1.000000000000e+00
2.754228703338e+02,3.112518028408e-20,3.112518028408e-20,1.000000000000e+00
2.884031503127e+02,3.185017886817e-20,3.185017886817e-20,1.000000000000e+00
3.019951720402e+02,3.259206483869e-20,3.259206483869e-20,1.000000000000e+00
3.162277660168e+02,3.335123155339e-20,3.335123155339e-20,1.000000000000e+00
3.311311214826e+02,3.412808153252e-20,3.412808153252e-20,1.000000000000e+00
3.467368504525e+02,3.492302667221e-20,3.492302667221e-20,1.000000000000e+00
3.630780547701e+02,3.573648846291e-20,3.573648846291e-20,1.000000000000e+00
3.801893963206e+02,3.656889821281e-20,3.656889821281e-20,1.000000000000e+00
3.981071705535e+02,3.742069727660e-20,3.742069727660e-20,1.000000000000e+00
4.168693834703e+02,3.829233728941e-20,3.829233728941e-20,1.000000000000e+00
