source_case,plane,x_mm,y_mm,z_mm,V_V,Ex_V_per_m,Ey_V_per_m,Ez_V_per_m,E_V_per_m,Eperp_V_per_m,U_mu_eV,electrode,rho_mm
transport_highfield_10_v2,y=0_xz,-24.362316534499666,-2.220446049250313e-16,384.5756939895005,7372.388535107572,229128.91256040812,-20345.759558229292,84775.25561407187,270585.00898311206,238097.44917582217,-7372.388595847148,V3,24.362316534499666
transport_highfield_10_v2,y=0_xz,-24.711183314161033,-1.1102230246251565e-16,383.8738341615824,7739.881236055875,277473.57998286595,-7850.440070646725,113498.11695078586,308241.84090694477,279589.13056187326,-7739.881299823146,V3,24.711183314161033
transport_highfield_10_v2,y=0_xz,-24.711183314161033,-1.1102230246251565e-16,383.614332962661,7739.881236055875,277290.59249918273,-20530.747703190784,125429.91090504103,325171.18056455115,280744.4804893941,-7739.881299823146,V3,24.711183314161033
transport_highfield_10_v2,y=0_xz,-24.515131415776963,1.6653345369377348e-16,383.26161574947713,7534.866026653386,290707.9148352674,-14071.864644955562,82665.5752084154,333721.80508517765,292192.3593768766,-7534.86608873158,V3,24.515131415776963
transport_highfield_10_v2,y=0_xz,24.341306505111362,4.440892098500626e-16,550.0438544994586,678.0574362138249,-16522.27699646601,-5.337086099632605,18856.798393605528,26501.556896145292,16792.086336963654,-678.0574418001988,V4,24.341306505111362
transport_highfield_10_v2,y=0_xz,24.725540846735992,-2.220446049250313e-16,549.0385922589611,705.9954190118737,-19027.805507948957,1951.443508020012,17436.122271481523,30173.65764721463,19450.48256035146,-705.9954248284231,V4,24.725540846735992
transport_highfield_10_v2,y=0_xz,-24.53531811555768,-2.220446049250313e-16,550.2382319293355,680.664058153631,17364.883278224115,559.7144449188133,21161.8037330939,27611.44289608644,17697.41878648455,-680.6640637614806,V4,24.53531811555768
transport_highfield_10_v2,y=0_xz,-20.377031286103616,0.0,550.0457717656182,623.535833532211,13457.490071123935,24.64128098853889,12432.623983591573,18497.838442088796,13570.08601557153,-623.5358386693929,V4,20.377031286103616
transport_highfield_10_v2,y=0_xz,-17.06974906853559,-4.440892098500626e-16,550.4929275339047,573.6694425614061,8833.614406796834,36.392786015906694,8945.90656888257,12805.751049851548,8984.008845482194,-573.6694472877493,V4,17.06974906853559
transport_highfield_10_v2,y=0_xz,-24.356070356492154,-2.220446049250313e-16,545.316286823226,735.6427873844818,28228.808684340212,-148.1060498567811,-876.0559453912114,28795.48231201363,28580.06679777551,-735.6427934452897,V4,24.356070356492154
transport_highfield_10_v2,y=0_xz,-23.87456920522768,0.0,547.6845052911813,689.5502024341778,22818.278275038967,-886.4742067420383,8758.663832228198,26897.067532843124,23147.70626751759,-689.5502081152388,V4,23.87456920522768
transport_highfield_10_v2,y=0_xz,22.5298995479656,0.0,545.2035407550302,674.163134677228,-21732.481071422237,-320.3358722759232,-977.2681149815824,22670.991879850462,21846.07075230762,-674.1631402315178,V4,22.5298995479656
transport_highfield_10_v2,y=0_xz,22.99172811917217,1.6653345369377348e-16,544.96611516759,684.3143272904692,-23324.91104514178,1585.4051497589148,-2818.043092420833,24617.32316276857,23488.09479252587,-684.3143329283926,V4,22.99172811917217
transport_highfield_10_v2,y=0_xz,23.187269389150913,-5.551115123125783e-17,544.7062032216144,695.480508543194,-24602.93213664752,155.0960358113522,-611.9368950706438,25289.463276082195,24774.522463111833,-695.480514273113,V4,23.187269389150913
transport_highfield_10_v2,y=0_xz,22.82334850732171,1.1102230246251565e-16,544.6298176442,683.8135105455484,-23644.094499849318,168.8876025856824,-3196.9703628468937,24075.9817470017,23691.391845453927,-683.8135161793456,V4,22.82334850732171
transport_highfield_10_v2,y=0_xz,23.793242908173045,-5.551115123125783e-17,544.1145444630298,699.9543332629081,-27480.9878313016,-466.7635993848183,-5662.98024125438,31611.540149101365,27640.881491028453,-699.9543390296863,V4,23.793242908173045
transport_highfield_10_v2,y=0_xz,22.964571204926266,5.551115123125783e-17,544.3821674306662,681.6131779736264,-26659.297513646317,-980.1887923357958,-1941.5618256083671,28067.1951108097,26825.127600329866,-681.6131835892955,V4,22.964571204926266
transport_highfield_10_v2,y=0_xz,16.633876964666484,0.0,548.0345235982586,576.1986498161574,-9934.89485535757,-37.501570307239184,4531.331587849561,12504.144761935335,10136.12936554131,-576.1986545633382,V4,16.633876964666484
transport_highfield_10_v2,y=0_xz,13.269176777690236,2.220446049250313e-16,546.9648774989275,561.2502882457386,-7667.234620589125,45.860790552900696,1506.6983737339483,8240.683846109618,7823.826562656529,-561.250292869763,V4,13.269176777690236
transport_highfield_10_v2,y=0_xz,15.188972261238577,-2.220446049250313e-16,545.9254723643692,577.3662162857166,-9186.80338410771,127.54637351201953,691.6258392242463,9465.470534729371,9349.0902690514,-577.3662210425168,V4,15.188972261238577
transport_highfield_10_v2,y=0_xz,22.37503980067749,-1.1102230246251565e-16,544.708377789042,676.705546437186,-19585.977041803882,136.9532940220078,-2726.572773211603,19952.867368877454,19613.392397973672,-676.7055520124221,V4,22.37503980067749
transport_highfield_10_v2,y=0_xz,-15.611728807019986,0.0,549.1889421985229,572.3374235320953,8770.818365381478,128.20917461262758,5738.148519756638,11009.999013478844,9105.086175572711,-572.3374282474642,V4,15.611728807019986
