source,x,y,metric
PhaseA_density,1e+23,89253.392869417,P90_Kperp_end_eV
PhaseA_density,2e+23,73871.94735760418,P90_Kperp_end_eV
PhaseA_density,3e+23,59942.98822518516,P90_Kperp_end_eV
PhaseA_density,5e+23,36476.19593914445,P90_Kperp_end_eV
PhaseA_density,8e+23,12218.72818403896,P90_Kperp_end_eV
PhaseA_density,1e+24,3217.606865182636,P90_Kperp_end_eV
PhaseA_density,1.2e+24,12.941508238975025,P90_Kperp_end_eV
PhaseA_density,1.5e+24,1.4992705092216393e-18,P90_Kperp_end_eV
PhaseB_case,tables\centered\transport_highfield_10,0.0,T_geom
PhaseB_case,tables\centered\transport_highfield_10_v2,0.0,T_geom
PhaseB_case,tables\centered\transport_highfield_smoke,0.0,T_geom
PhaseB_case,tables\centered\transport_lowfield_1e24_a60,0.0,T_geom
PhaseB_case,tables\centered\transport_lowfield_1e24_a60_v2,0.0,T_geom
PhaseB_case,tables\centered\transport_short2,0.0,T_geom
PhaseB_case,tables\centered\transport_short2_dv12_2,0.0,T_geom
PhaseB_case,tables\centered\transport_short2_dv12_2_fixsel,0.0,T_geom
PhaseB_case,tables\centered\transport_short2_nostop,0.0,T_geom
PhaseB_case,tables\centered\transport_smoke3,0.0,T_geom
PhaseB_case,tables\centered\transport_zero_voltage_check,0.0,T_geom
