event_id,radial_kinetic_energy_eV,axial_kinetic_energy_eV,total_kinetic_energy_eV,extraction_time_ns
1,8.539333163320e+01,4.122843542371e+04,4.131382875535e+04,5.590592828637e+01
3,1.033995099548e+03,9.976679168827e+03,1.101067426838e+04,7.037556694830e+01
4,1.669086763025e+03,6.385781607114e+04,6.552690283417e+04,4.840810116411e+01
5,1.133143808066e+03,7.102143022644e+04,7.215457403451e+04,4.643019104996e+01
6,6.122781262286e+03,2.814262315733e+04,3.426540441962e+04,5.942952121408e+01
7,9.568882244260e+02,5.273097905394e+04,5.368786727836e+04,5.211413838469e+01
9,4.514115389280e+02,9.389467865167e+04,9.434609019060e+04,4.261803123604e+01
10,1.348051689499e+03,1.557723549089e+04,1.692528718039e+04,6.663943473032e+01
11,1.641656850733e+03,5.990970389120e+04,6.155136074193e+04,4.896711507887e+01
12,1.054201336454e+02,4.179358867950e+04,4.189900881315e+04,5.544598970168e+01
13,1.814757007579e+03,6.576833625325e+04,6.758309326083e+04,4.829440016164e+01
15,1.186065614229e+02,7.875698664515e+04,7.887559320657e+04,4.518866849680e+01
18,5.224132817508e+02,7.987480535750e+04,8.039721863925e+04,4.514865874301e+01
19,7.161171152004e+01,7.856780192232e+04,7.863941363384e+04,4.612494983544e+01
20,1.586266606435e+03,8.059354257566e+04,8.217980918210e+04,4.472425268968e+01
21,5.093366005967e+03,5.790089929863e+04,6.299426530460e+04,4.974795556111e+01
22,4.215082959502e+03,7.665973674940e+03,1.188105663444e+04,7.195560751866e+01
23,1.726137486488e+03,3.989377405607e+04,4.161991154256e+04,5.521706872259e+01
25,2.885686149500e+03,5.652951759022e+04,5.941520373972e+04,5.312099557129e+01
26,8.268848914172e+03,5.819029383161e+04,6.645914274578e+04,4.998401079776e+01
27,1.268923077164e+02,6.161422192400e+04,6.174111423172e+04,4.878970140945e+01
28,4.936470156755e+03,2.557409686830e+04,3.051056702505e+04,6.260648216838e+01
29,2.564677438555e+03,3.029942087580e+04,3.286409831435e+04,5.971263855382e+01
30,2.201420538056e+01,4.936603974753e+04,4.938805395291e+04,5.279642414752e+01
32,4.520336902400e+02,5.925363646624e+04,5.970567015648e+04,4.928997829897e+01
33,1.965992729907e+02,7.731521436066e+04,7.751181363365e+04,4.477931289111e+01
